cset: --> last message, executed args into cpuset "/user", new pid is: 75972
L,N,embed_dim,num_heads,use_separate_proj_weight,qkv_same,kv_same,device,avg(us),std(us),num_runs,data/avg(us)
16,1,16,1,True,True,False,cpu,323,7,6178,0
16,1,16,8,True,True,False,cpu,370,6,5397,5
16,1,16,16,True,True,False,cpu,405,7,4935,10
16,1,256,1,True,True,False,cpu,751,240,2661,5
16,1,256,8,True,True,False,cpu,793,83,2520,41
16,1,256,16,True,True,False,cpu,852,62,2345,76
16,1,1024,1,True,True,False,cpu,5370,2999,373,3
16,1,1024,8,True,True,False,cpu,5357,902,374,24
16,1,1024,16,True,True,False,cpu,4965,572,403,52
16,64,16,1,True,True,False,cpu,922,9,2168,17
16,64,16,8,True,True,False,cpu,2967,19,674,44
16,64,16,16,True,True,False,cpu,5884,22,340,44
16,64,256,1,True,True,False,cpu,25249,2215,80,10
16,64,256,8,True,True,False,cpu,26738,831,75,78
16,64,256,16,True,True,False,cpu,28884,480,70,145
16,64,1024,1,True,True,False,cpu,181907,12768,12,5
16,64,1024,8,True,True,False,cpu,201461,5104,10,41
16,64,1024,16,True,True,False,cpu,204348,3627,10,82
16,256,16,1,True,True,False,cpu,2712,16,738,24
16,256,16,8,True,True,False,cpu,10575,30,190,49
16,256,16,16,True,True,False,cpu,23475,49,86,44
16,256,256,1,True,True,False,cpu,95092,4208,22,11
16,256,256,8,True,True,False,cpu,105712,1178,19,79
16,256,256,16,True,True,False,cpu,115244,1136,18,145
16,256,1024,1,True,True,False,cpu,874212,49775,3,4
16,256,1024,8,True,True,False,cpu,834752,12617,3,40
16,256,1024,16,True,True,False,cpu,828470,8956,3,81
32,1,16,1,True,True,False,cpu,339,6,5896,1
32,1,16,8,True,True,False,cpu,447,7,4470,9
32,1,16,16,True,True,False,cpu,544,9,3671,15
32,1,256,1,True,True,False,cpu,1193,393,1676,6
32,1,256,8,True,True,False,cpu,1317,138,1519,49
32,1,256,16,True,True,False,cpu,1453,101,1377,90
32,1,1024,1,True,True,False,cpu,9565,3900,210,3
32,1,1024,8,True,True,False,cpu,7816,950,256,33
32,1,1024,16,True,True,False,cpu,8312,732,241,63
32,64,16,1,True,True,False,cpu,1681,13,1190,19
32,64,16,8,True,True,False,cpu,7297,128,275,35
32,64,16,16,True,True,False,cpu,14781,34,136,35
32,64,256,1,True,True,False,cpu,52076,3241,39,10
32,64,256,8,True,True,False,cpu,58212,993,35,72
32,64,256,16,True,True,False,cpu,65954,838,31,127
32,64,1024,1,True,True,False,cpu,433471,26013,5,4
32,64,1024,8,True,True,False,cpu,413273,7320,5,40
32,64,1024,16,True,True,False,cpu,425551,3128,5,78
32,256,16,1,True,True,False,cpu,5512,81,363,23
32,256,16,8,True,True,False,cpu,31351,54,64,33
32,256,16,16,True,True,False,cpu,70927,5217,29,29
32,256,256,1,True,True,False,cpu,209757,5251,10,9
32,256,256,8,True,True,False,cpu,243516,5155,9,68
32,256,256,16,True,True,False,cpu,290536,10967,7,115
32,256,1024,1,True,True,False,cpu,1788599,25881,2,4
32,256,1024,8,True,True,False,cpu,1816297,21115,2,36
32,256,1024,16,True,True,False,cpu,1819629,1241,2,73
