cset: --> last message, executed args into cpuset "/user", new pid is: 77989
L,N,embed_dim,num_heads,use_separate_proj_weight,qkv_same,kv_same,device,avg(us),std(us),num_runs,data/avg(us)
16,1,16,1,True,True,False,cpu,321,4,6227,0
16,1,16,8,True,True,False,cpu,392,4,5094,5
16,1,16,16,True,True,False,cpu,391,7,5111,10
16,1,256,1,True,True,False,cpu,475,43,4209,8
16,1,256,8,True,True,False,cpu,523,12,3821,62
16,1,256,16,True,True,False,cpu,544,10,3675,120
16,1,1024,1,True,True,False,cpu,1109,318,1803,14
16,1,1024,8,True,True,False,cpu,1099,56,1820,119
16,1,1024,16,True,True,False,cpu,1198,74,1669,218
16,64,16,1,True,True,False,cpu,712,5,2806,23
16,64,16,8,True,True,False,cpu,1112,9,1798,117
16,64,16,16,True,True,False,cpu,1335,11,1498,196
16,64,256,1,True,True,False,cpu,5223,660,383,50
16,64,256,8,True,True,False,cpu,4324,182,463,485
16,64,256,16,True,True,False,cpu,4521,133,443,927
16,64,1024,1,True,True,False,cpu,37575,4081,54,27
16,64,1024,8,True,True,False,cpu,30071,1129,67,278
16,64,1024,16,True,True,False,cpu,29982,792,67,559
16,256,16,1,True,True,False,cpu,1245,6,1606,52
16,256,16,8,True,True,False,cpu,2411,10,830,217
16,256,16,16,True,True,False,cpu,3855,16,519,272
16,256,256,1,True,True,False,cpu,17665,1828,114,59
16,256,256,8,True,True,False,cpu,15286,793,131,548
16,256,256,16,True,True,False,cpu,15878,253,126,1056
16,256,1024,1,True,True,False,cpu,127515,12422,16,32
16,256,1024,8,True,True,False,cpu,123582,3892,17,271
16,256,1024,16,True,True,False,cpu,118162,2967,17,567
32,1,16,1,True,True,False,cpu,340,3,5876,1
32,1,16,8,True,True,False,cpu,409,3,4884,10
32,1,16,16,True,True,False,cpu,404,4,4950,20
32,1,256,1,True,True,False,cpu,567,37,3527,14
32,1,256,8,True,True,False,cpu,628,19,3185,104
32,1,256,16,True,True,False,cpu,634,14,3151,206
32,1,1024,1,True,True,False,cpu,2043,646,979,16
32,1,1024,8,True,True,False,cpu,1814,161,1103,144
32,1,1024,16,True,True,False,cpu,1747,97,1145,300
32,64,16,1,True,True,False,cpu,1111,5,1799,29
32,64,16,8,True,True,False,cpu,1998,10,1001,131
32,64,16,16,True,True,False,cpu,2715,12,737,193
32,64,256,1,True,True,False,cpu,9026,888,222,58
32,64,256,8,True,True,False,cpu,8598,303,233,487
32,64,256,16,True,True,False,cpu,9412,178,213,891
32,64,1024,1,True,True,False,cpu,71685,6564,28,29
32,64,1024,8,True,True,False,cpu,63283,2199,32,265
32,64,1024,16,True,True,False,cpu,64009,1327,32,524
32,256,16,1,True,True,False,cpu,1548,15,1292,84
32,256,16,8,True,True,False,cpu,4765,96,420,220
32,256,16,16,True,True,False,cpu,12941,629,155,162
32,256,256,1,True,True,False,cpu,31621,1770,64,66
32,256,256,8,True,True,False,cpu,32754,1003,62,512
32,256,256,16,True,True,False,cpu,44111,341,46,760
32,256,1024,1,True,True,False,cpu,267607,6654,8,31
32,256,1024,8,True,True,False,cpu,267161,7541,8,251
32,256,1024,16,True,True,False,cpu,264900,7085,8,506
16,1,16,1,True,False,True,cpu,322,4,6207,0
16,1,16,8,True,False,True,cpu,390,4,5123,5
16,1,16,16,True,False,True,cpu,389,4,5141,10
16,1,256,1,True,False,True,cpu,424,13,4711,9
16,1,256,8,True,False,True,cpu,511,14,3907,64
16,1,256,16,True,False,True,cpu,523,10,3824,125
16,1,1024,1,True,False,True,cpu,934,8,2140,17
16,1,1024,8,True,False,True,cpu,1199,130,1669,109
16,1,1024,16,True,False,True,cpu,1049,36,1906,249
16,64,16,1,True,False,True,cpu,639,6,3127,25
16,64,16,8,True,False,True,cpu,1037,7,1929,126
16,64,16,16,True,False,True,cpu,1264,7,1582,207
16,64,256,1,True,False,True,cpu,4993,633,401,52
16,64,256,8,True,False,True,cpu,4191,201,478,500
16,64,256,16,True,False,True,cpu,4375,148,458,958
16,64,1024,1,True,False,True,cpu,34742,3897,58,30
16,64,1024,8,True,False,True,cpu,29701,1198,68,282
16,64,1024,16,True,False,True,cpu,28691,816,70,584
16,256,16,1,True,False,True,cpu,1138,8,1757,57
16,256,16,8,True,False,True,cpu,2365,9,846,221
16,256,16,16,True,False,True,cpu,3680,14,544,284
16,256,256,1,True,False,True,cpu,14474,1180,139,72
16,256,256,8,True,False,True,cpu,14390,357,139,582
16,256,256,16,True,False,True,cpu,15644,248,128,1072
16,256,1024,1,True,False,True,cpu,132940,9879,16,31
16,256,1024,8,True,False,True,cpu,120525,2278,17,278
16,256,1024,16,True,False,True,cpu,122768,2439,17,546
32,1,16,1,True,False,True,cpu,340,4,5872,1
32,1,16,8,True,False,True,cpu,405,5,4938,10
32,1,16,16,True,False,True,cpu,409,4,4887,20
32,1,256,1,True,False,True,cpu,587,57,3405,13
32,1,256,8,True,False,True,cpu,591,19,3384,110
32,1,256,16,True,False,True,cpu,584,12,3420,224
32,1,1024,1,True,False,True,cpu,1518,301,1318,21
32,1,1024,8,True,False,True,cpu,1494,84,1339,175
32,1,1024,16,True,False,True,cpu,1574,85,1271,333
32,64,16,1,True,False,True,cpu,1003,7,1994,32
32,64,16,8,True,False,True,cpu,1767,19,1132,148
32,64,16,16,True,False,True,cpu,2530,19,791,207
32,64,256,1,True,False,True,cpu,8817,815,227,59
32,64,256,8,True,False,True,cpu,8412,257,238,498
32,64,256,16,True,False,True,cpu,9275,203,216,904
32,64,1024,1,True,False,True,cpu,72489,6327,28,28
32,64,1024,8,True,False,True,cpu,63978,2281,32,262
32,64,1024,16,True,False,True,cpu,64322,2505,32,521
32,256,16,1,True,False,True,cpu,1344,16,1488,97
32,256,16,8,True,False,True,cpu,5064,17,395,207
32,256,16,16,True,False,True,cpu,8710,26,230,240
32,256,256,1,True,False,True,cpu,30095,1590,67,69
32,256,256,8,True,False,True,cpu,33253,1419,61,504
32,256,256,16,True,False,True,cpu,41648,1404,49,805
32,256,1024,1,True,False,True,cpu,277812,13119,8,30
32,256,1024,8,True,False,True,cpu,267797,3106,8,250
32,256,1024,16,True,False,True,cpu,261605,4059,8,513
16,1,16,1,True,False,False,cpu,320,4,6233,0
16,1,16,8,True,False,False,cpu,393,4,5080,5
16,1,16,16,True,False,False,cpu,389,5,5137,10
16,1,256,1,True,False,False,cpu,417,16,4793,9
16,1,256,8,True,False,False,cpu,507,14,3939,64
16,1,256,16,True,False,False,cpu,525,11,3806,124
16,1,1024,1,True,False,False,cpu,902,8,2215,18
16,1,1024,8,True,False,False,cpu,1003,56,1994,130
16,1,1024,16,True,False,False,cpu,1053,58,1899,248
16,64,16,1,True,False,False,cpu,608,6,3290,26
16,64,16,8,True,False,False,cpu,996,8,2007,131
16,64,16,16,True,False,False,cpu,1237,8,1617,211
16,64,256,1,True,False,False,cpu,4613,677,434,56
16,64,256,8,True,False,False,cpu,4088,185,490,513
